x_m,T_h_K,T_c_K,T_h_C,T_c_C,P_h_Pa,P_c_Pa,P_h_MPa,P_c_MPa,H_h_Jkg,H_c_Jkg
0.0,600.0,563.15,326.85,290.0,15000000.0,6000000.0,15.0,6.0,1497654.8398541238,2847547.4745081137
0.09753638712565103,598.5262078441792,548.7441903644998,325.37620784417925,275.5941903644998,14998545.771473506,6000846.032974402,14.998545771473507,6.000846032974402,1488030.387187305,2783309.64320527
0.19507277425130207,596.3058860078991,548.7526848026444,323.1558860078991,275.6026848026444,14997098.208633754,6001627.231710089,14.997098208633755,6.001627231710089,1473790.3126325407,2688265.120814659
0.2926091613769531,594.2279927121817,548.760784444465,321.07799271218175,275.610784444465,14995660.16425418,6002372.194985286,14.99566016425418,6.002372194985286,1460722.7587845062,2601046.5174622973
0.39014554850260413,592.2850930856898,548.768517052611,319.13509308568985,275.61851705261097,14994230.508530503,6003083.466294498,14.994230508530503,6.003083466294498,1448709.7579623056,2520866.464946906
0.4876819356282552,590.4690576286946,548.7759079152828,317.3190576286946,275.6259079152828,14992808.287087284,6003763.362875233,14.992808287087284,6.003763362875233,1437646.06407953,2447022.5045855795
0.5852183227539062,588.7715434761934,548.7829800786542,315.62154347619344,275.6329800786542,14991392.687908854,6004413.996891908,14.991392687908855,6.004413996891908,1427437.9525959534,2378889.077563452
0.6827547098795572,586.2435875018543,548.7897545633215,313.09358750185436,275.6397545633215,14989983.015538791,6005037.295180317,14.98998301553879,6.005037295180317,1412455.4220969935,2278889.077563452
0.7802910970052083,583.6736921709535,548.7960860123443,310.5236921709535,275.6460860123443,14988581.738801526,6005619.875877228,14.988581738801527,6.005619875877228,1397472.8915980337,2178889.077563452
0.8778274841308593,581.063656477941,548.8019654890538,307.913656477941,275.65196548905385,14987188.511095,6006160.907539152,14.987188511095,6.006160907539152,1382490.361099074,2078889.077563452
0.9753638712565104,578.4151685128136,548.8073828655113,305.2651685128136,275.6573828655113,14985803.002375778,6006659.44951492,14.985803002375778,6.0066594495149195,1367507.830600114,1978889.077563452
1.0729002583821614,575.729814667821,548.8123265368195,302.579814667821,275.6623265368195,14984424.897649199,6007114.425664683,14.984424897649198,6.007114425664683,1352525.3001011543,1878889.077563452
1.1704366455078123,573.0090878171161,548.8167830296773,299.8590878171161,275.6667830296773,14983053.895609232,6007524.588347147,14.983053895609231,6.007524588347147,1337542.7696021944,1778889.077563452
1.2679730326334635,570.2543946582343,548.8207364498816,297.10439465823436,275.6707364498816,14981689.707408138,6007888.467585767,14.981689707408137,6.007888467585767,1322560.2391032346,1678889.077563452
1.3655094197591144,567.4670623522677,548.8241676742722,294.3170623522677,275.6741676742722,14980332.05553936,6008204.296716338,14.98033205553936,6.008204296716338,1307577.7086042748,1578889.077563452
1.4630458068847656,564.6483445638767,548.8270531164613,291.4983445638767,275.67705311646137,14978980.672819596,6008469.89880893,14.978980672819596,6.00846989880893,1292595.178105315,1478889.077563452
1.5605821940104165,561.7994269777115,548.8293627365136,288.6494269777115,275.67936273651367,14977635.301458035,6008682.503506819,14.977635301458035,6.008682503506819,1277612.6476063551,1378889.077563452
1.6581185811360675,558.9214323509729,548.8310566000821,285.7714323509729,275.6810566000821,14976295.692202464,6008838.430360332,14.976295692202465,6.008838430360332,1262630.1171073953,1278889.077563452
1.7556549682617186,556.135612363703,542.740945680724,282.985612363703,269.5909456807241,14974961.603553254,6008932.488090461,14.974961603553254,6.008932488090461,1248264.4769085862,1183006.4748228383
1.8531913553873696,555.5110198588307,538.5262094588523,282.3610198588307,265.3762094588524,14973632.587852528,6008982.397323447,14.973632587852528,6.0089823973234475,1245061.688906555,1161629.6586551461
1.9507277425130207,554.2671121130494,530.0006976150889,281.1171121130494,256.85069761508896,14972304.672891261,6009032.127458237,14.97230467289126,6.009032127458237,1238701.1981561973,1119176.945137899
